route_id,agency_id,route_short_name,route_long_name,route_type,route_url
1074000000001,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000002,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000003,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000004,74,60327,,700,http://www.resrobot.se/
1074000000005,74,61327,,700,http://www.resrobot.se/
1074000000006,74,60332,,700,http://www.resrobot.se/
1074000000007,74,61332,,700,http://www.resrobot.se/
1074000000008,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000009,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000010,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000011,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000012,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000013,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000014,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000015,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000016,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000017,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000018,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000019,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000020,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000021,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000022,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000023,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000024,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000025,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000026,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000027,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000028,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000029,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000030,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000031,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000032,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000033,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000034,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000035,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000036,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000037,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000038,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000039,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000040,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000041,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000042,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000043,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000044,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000045,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000046,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000047,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000048,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000049,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000050,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000051,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000052,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000053,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000054,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000055,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000056,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000057,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000058,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000059,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000060,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000061,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000062,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000063,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000064,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000065,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000066,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000067,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000068,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000069,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000070,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000071,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000072,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000073,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000074,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000075,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000076,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000077,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000078,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000079,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000080,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000081,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000082,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000083,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000084,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000085,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000086,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000087,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000088,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000089,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000090,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000091,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000092,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000093,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000094,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000095,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000096,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000097,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000098,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000099,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000100,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000101,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000102,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000103,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000104,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000105,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000106,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000107,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000108,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000109,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000110,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000111,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000112,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000113,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000114,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000115,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000116,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000117,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000118,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000119,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000120,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000121,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000122,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000123,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000124,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000125,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000126,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000127,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000128,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000129,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000130,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000131,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000132,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000133,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000134,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000135,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000136,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000137,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000138,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000139,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000140,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000141,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000142,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000143,74,,SJ Nattåg,102,http://www.resrobot.se/
1074000000144,74,,SJ Nattåg,102,http://www.resrobot.se/
1074000000145,74,,SJ Nattåg,102,http://www.resrobot.se/
1074000000146,74,,SJ Nattåg,102,http://www.resrobot.se/
1074000000147,74,,SJ Nattåg,102,http://www.resrobot.se/
1074000000148,74,,SJ Nattåg,102,http://www.resrobot.se/
1074000000149,74,,SJ InterCity,102,http://www.resrobot.se/
1074000000150,74,,SJ InterCity,102,http://www.resrobot.se/
1074000000151,74,,SJ InterCity,102,http://www.resrobot.se/
1074000000152,74,,SJ InterCity,102,http://www.resrobot.se/
1074000000153,74,,SJ InterCity,102,http://www.resrobot.se/
1074000000154,74,,SJ InterCity,102,http://www.resrobot.se/
1074000000155,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000156,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000157,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000158,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000159,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000160,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000161,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000162,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000163,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000164,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000165,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000166,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000167,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000168,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000169,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000170,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000171,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000172,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000173,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000174,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000175,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000176,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000177,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000178,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000179,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000180,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000181,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000182,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000183,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000184,74,,SJ Regionaltåg,102,http://www.resrobot.se/
1074000000185,74,,SJ Regionaltåg,102,http://www.resrobot.se/
